chid	chemical_name	measure	yes_no
22455	Dimethyl phthalate	estrone	yes
34676	Isazofos	hydroxypregnenolone	no
34676	Isazofos	hydroxyprogesteroneesterone	yes
34676	Isazofos	androsteinedione	no
34676	Isazofos	deoxycortisone	no
34676	Isazofos	estrone	yes
34676	Isazofos	progesterone	yes
34676	Isazofos	testosterone	no
32628	Methoxyfenozide	estrone	no
34773	Novaluron	hydroxyprogesteroneesterone	no
34773	Novaluron	deoxycortisone	no
34773	Novaluron	progesterone	no
32601	Cyproconazole	hydroxypregnenolone	no
32601	Cyproconazole	hydroxyprogesteroneesterone	no
32601	Cyproconazole	cortisol	no
32601	Cyproconazole	deoxycortisone	no
32601	Cyproconazole	estradiol	no
32601	Cyproconazole	estrone	no
32601	Cyproconazole	progesterone	no
32601	Cyproconazole	testosterone	no
34928	Spirodiclofen	deoxycortisol	no
34928	Spirodiclofen	hydroxyprogesteroneesterone	no
34928	Spirodiclofen	deoxycortisone	no
34928	Spirodiclofen	progesterone	no
34928	Spirodiclofen	testosterone	no
24151	Imazalil	deoxycortisol	no
24151	Imazalil	hydroxypregnenolone	no
24151	Imazalil	hydroxyprogesteroneesterone	yes
24151	Imazalil	androsteinedione	no
24151	Imazalil	cortisol	no
24151	Imazalil	progesterone	yes
24151	Imazalil	testosterone	no
32554	Flumiclorac-pentyl	estradiol	no
32554	Flumiclorac-pentyl	estrone	no
32554	Flumiclorac-pentyl	progesterone	yes
32372	Difenoconazole	hydroxypregnenolone	no
32372	Difenoconazole	hydroxyprogesteroneesterone	yes
32372	Difenoconazole	cortisol	no
32372	Difenoconazole	deoxycortisone	no
34252	Tepraloxydim	deoxycortisone	yes
34252	Tepraloxydim	progesterone	yes
32464	Profenofos	hydroxyprogesteroneesterone	yes
32464	Profenofos	estradiol	yes
32464	Profenofos	estrone	yes
32464	Profenofos	progesterone	yes
20347	Coumaphos	deoxycortisol	no
20347	Coumaphos	hydroxypregnenolone	no
20347	Coumaphos	hydroxyprogesteroneesterone	yes
20347	Coumaphos	deoxycortisone	no
20347	Coumaphos	estradiol	yes
20347	Coumaphos	progesterone	yes
20347	Coumaphos	testosterone	no
34973	Tralkoxydim	hydroxyprogesteroneesterone	no
34973	Tralkoxydim	testosterone	no
24102	Fenamiphos	deoxycortisol	no
24102	Fenamiphos	hydroxypregnenolone	no
24102	Fenamiphos	androsteinedione	no
24102	Fenamiphos	cortisol	no
24102	Fenamiphos	deoxycortisone	no
24102	Fenamiphos	progesterone	no
24102	Fenamiphos	testosterone	no
40362	Niclosamide	androsteinedione	no
40362	Niclosamide	estradiol	no
40362	Niclosamide	estrone	no
32547	Etridiazole	estradiol	yes
32547	Etridiazole	estrone	yes
32667	Esfenvalerate	deoxycortisol	no
32667	Esfenvalerate	hydroxypregnenolone	no
32667	Esfenvalerate	hydroxyprogesteroneesterone	no
32667	Esfenvalerate	cortisol	no
32667	Esfenvalerate	deoxycortisone	no
32667	Esfenvalerate	progesterone	no
34653	Hexaconazole	cortisol	no
24159	Isoxaben	deoxycortisol	no
24159	Isoxaben	hydroxypregnenolone	no
24159	Isoxaben	hydroxyprogesteroneesterone	no
24159	Isoxaben	cortisol	no
24159	Isoxaben	deoxycortisone	no
24159	Isoxaben	estradiol	no
24159	Isoxaben	estrone	no
24159	Isoxaben	progesterone	no
32470	Propetamphos	deoxycortisol	no
32470	Propetamphos	hydroxypregnenolone	no
32470	Propetamphos	androsteinedione	no
32470	Propetamphos	deoxycortisone	yes
32470	Propetamphos	estradiol	yes
32470	Propetamphos	estrone	yes
32470	Propetamphos	progesterone	yes
32470	Propetamphos	testosterone	no
32493	Triadimenol	hydroxypregnenolone	no
32493	Triadimenol	hydroxyprogesteroneesterone	no
32493	Triadimenol	cortisol	no
32493	Triadimenol	deoxycortisone	no
32493	Triadimenol	estrone	no
32493	Triadimenol	progesterone	no
24270	Prochloraz	deoxycortisol	no
24270	Prochloraz	androsteinedione	no
24270	Prochloraz	cortisol	no
24270	Prochloraz	deoxycortisone	yes
24270	Prochloraz	progesterone	yes
24270	Prochloraz	testosterone	no
21337	Thiabendazole	hydroxyprogesteroneesterone	no
21337	Thiabendazole	estrone	yes
21337	Thiabendazole	progesterone	no
20182	Bisphenol A	androsteinedione	no
20182	Bisphenol A	testosterone	no
34664	Imazamox	estradiol	yes
34877	Pyrimethanil	hydroxyprogesteroneesterone	no
24175	Metalaxyl	hydroxypregnenolone	yes
24175	Metalaxyl	hydroxyprogesteroneesterone	yes
24175	Metalaxyl	deoxycortisone	yes
24175	Metalaxyl	progesterone	yes
21781	Dibutyl phthalate	estrone	yes
34948	Tebufenozide	estrone	no
20446	Diuron	deoxycortisol	no
20446	Diuron	hydroxypregnenolone	no
20446	Diuron	hydroxyprogesteroneesterone	no
20446	Diuron	androsteinedione	no
20446	Diuron	progesterone	no
20446	Diuron	testosterone	no
34212	Spiroxamine	deoxycortisol	no
34212	Spiroxamine	hydroxyprogesteroneesterone	no
34212	Spiroxamine	androsteinedione	no
34212	Spiroxamine	deoxycortisone	no
34212	Spiroxamine	estradiol	yes
34212	Spiroxamine	estrone	yes
34212	Spiroxamine	testosterone	no
32569	Pirimicarb	hydroxyprogesteroneesterone	no
32569	Pirimicarb	androsteinedione	no
32569	Pirimicarb	estradiol	no
32569	Pirimicarb	estrone	no
32569	Pirimicarb	testosterone	no
24195	MCPA	hydroxypregnenolone	yes
24195	MCPA	deoxycortisone	yes
24195	MCPA	progesterone	yes
22361	Vinclozolin	deoxycortisol	no
22361	Vinclozolin	hydroxypregnenolone	no
22361	Vinclozolin	hydroxyprogesteroneesterone	no
22361	Vinclozolin	androsteinedione	no
22361	Vinclozolin	deoxycortisone	no
22361	Vinclozolin	testosterone	no
23892	Abamectin	hydroxyprogesteroneesterone	yes
23892	Abamectin	progesterone	yes
34586	Etoxazole	estradiol	yes
34586	Etoxazole	estrone	yes
34401	Buprofezin	estrone	no
32392	Fenoxaprop-ethyl	deoxycortisone	yes
32392	Fenoxaprop-ethyl	progesterone	yes
34956	Tetraconazole	hydroxypregnenolone	no
34956	Tetraconazole	hydroxyprogesteroneesterone	no
34956	Tetraconazole	androsteinedione	no
34956	Tetraconazole	cortisol	no
34956	Tetraconazole	estradiol	no
34956	Tetraconazole	estrone	no
25680	MEHP	estrone	yes
20794	Maneb	estrone	no
20794	Maneb	progesterone	yes
23881	Clofentezine	androsteinedione	no
23881	Clofentezine	testosterone	no
20855	Methyl parathion	deoxycortisol	no
20855	Methyl parathion	hydroxypregnenolone	no
20855	Methyl parathion	hydroxyprogesteroneesterone	yes
20855	Methyl parathion	cortisol	no
20855	Methyl parathion	deoxycortisone	no
20855	Methyl parathion	estradiol	yes
20855	Methyl parathion	estrone	yes
20855	Methyl parathion	progesterone	yes
32655	Triticonazole	deoxycortisol	no
32655	Triticonazole	hydroxypregnenolone	no
32655	Triticonazole	hydroxyprogesteroneesterone	no
32655	Triticonazole	cortisol	no
32655	Triticonazole	deoxycortisone	no
32655	Triticonazole	progesterone	no
23998	Cypermethrin	estradiol	yes
32442	Imidacloprid	hydroxypregnenolone	yes
32553	Flumetralin	deoxycortisol	no
32553	Flumetralin	hydroxypregnenolone	no
32553	Flumetralin	hydroxyprogesteroneesterone	no
32553	Flumetralin	androsteinedione	no
32553	Flumetralin	cortisol	no
32553	Flumetralin	estradiol	no
32553	Flumetralin	estrone	no
32553	Flumetralin	testosterone	no
20628	Fluometuron	hydroxyprogesteroneesterone	no
20628	Fluometuron	androsteinedione	no
20628	Fluometuron	testosterone	no
24235	Flusilazole	androsteinedione	no
24235	Flusilazole	cortisol	no
24235	Flusilazole	deoxycortisone	yes
24235	Flusilazole	testosterone	no
24280	Propiconazole	hydroxypregnenolone	no
24280	Propiconazole	cortisol	no
24280	Propiconazole	deoxycortisone	no
23951	Carboxin	estradiol	yes
23951	Carboxin	estrone	yes
35180	Allethrin	estradiol	no
21151	2-Phenylphenol	estradiol	yes
20160	Bifenthrin	hydroxypregnenolone	no
20160	Bifenthrin	hydroxyprogesteroneesterone	no
20160	Bifenthrin	deoxycortisone	no
20160	Bifenthrin	progesterone	no
32327	Bendiocarb	hydroxyprogesteroneesterone	yes
32327	Bendiocarb	estradiol	yes
32327	Bendiocarb	estrone	yes
32327	Bendiocarb	progesterone	yes
32690	Indoxacarb	deoxycortisone	no
32488	Thiazopyr	hydroxyprogesteroneesterone	yes
32488	Thiazopyr	deoxycortisone	no
32488	Thiazopyr	progesterone	yes
24793	Chloroneb	estradiol	yes
23999	Cyromazine	estradiol	no
24241	Oxyfluorfen	deoxycortisol	no
24241	Oxyfluorfen	hydroxypregnenolone	no
24241	Oxyfluorfen	hydroxyprogesteroneesterone	no
24241	Oxyfluorfen	androsteinedione	no
24241	Oxyfluorfen	deoxycortisone	no
24241	Oxyfluorfen	estradiol	yes
24241	Oxyfluorfen	estrone	no
24241	Oxyfluorfen	testosterone	no
24234	Norflurazon	deoxycortisol	yes
24234	Norflurazon	estradiol	yes
24234	Norflurazon	estrone	yes
20247	Carbaryl	hydroxyprogesteroneesterone	no
20247	Carbaryl	androsteinedione	no
20247	Carbaryl	estradiol	yes
20247	Carbaryl	estrone	yes
20247	Carbaryl	testosterone	no
40363	Diniconazole	hydroxyprogesteroneesterone	yes
40363	Diniconazole	androsteinedione	no
40363	Diniconazole	cortisol	no
40363	Diniconazole	progesterone	yes
34872	Chloridazon	deoxycortisone	yes
34872	Chloridazon	estradiol	yes
34872	Chloridazon	estrone	yes
34465	Clothianidin	estradiol	yes
34465	Clothianidin	estrone	yes
20370	Daminozide	estradiol	no
20370	Daminozide	estrone	no
34816	Monocrotophos	hydroxypregnenolone	yes
34816	Monocrotophos	hydroxyprogesteroneesterone	yes
34816	Monocrotophos	testosterone	yes
24109	Flutolanil	deoxycortisol	no
24109	Flutolanil	hydroxypregnenolone	no
24109	Flutolanil	hydroxyprogesteroneesterone	no
24109	Flutolanil	androsteinedione	no
24109	Flutolanil	cortisol	no
24109	Flutolanil	deoxycortisone	no
24109	Flutolanil	progesterone	no
24109	Flutolanil	testosterone	no
32683	Mevinphos	cortisol	no
21948	Propoxur	estradiol	yes
21948	Propoxur	estrone	yes
21196	Propazine	estrone	yes
32552	Flufenacet	estradiol	no
32552	Flufenacet	estrone	no
22020	Bromacil	deoxycortisone	yes
22020	Bromacil	estradiol	yes
22020	Bromacil	estrone	yes
32337	Butralin	androsteinedione	no
32337	Butralin	estradiol	yes
32337	Butralin	estrone	yes
32337	Butralin	progesterone	yes
32605	Diclofop-methyl	deoxycortisone	yes
32605	Diclofop-methyl	progesterone	yes
32390	Fenarimol	cortisol	no
32493	Triadimenol	deoxycortisol	no
32493	Triadimenol	hydroxyprogesteroneesterone	no
32493	Triadimenol	androsteinedione	no
32493	Triadimenol	cortisol	no
32493	Triadimenol	deoxycortisone	no
32493	Triadimenol	estradiol	no
32493	Triadimenol	estrone	no
32493	Triadimenol	progesterone	no
32600	Cyclanilide	hydroxyprogesteroneesterone	no
32600	Cyclanilide	deoxycortisone	no
24266	Pirimiphos-methyl	androsteinedione	no
24266	Pirimiphos-methyl	cortisol	yes
24266	Pirimiphos-methyl	deoxycortisone	yes
24266	Pirimiphos-methyl	estradiol	yes
24266	Pirimiphos-methyl	estrone	yes
24266	Pirimiphos-methyl	progesterone	yes
24266	Pirimiphos-methyl	testosterone	no
32356	Cycloate	estradiol	yes
32356	Cycloate	estrone	yes
32356	Cycloate	progesterone	no
34871	Pyraflufen-ethyl	estradiol	yes
20182	Bisphenol A	deoxycortisol	no
20182	Bisphenol A	androsteinedione	no
20182	Bisphenol A	cortisol	no
20182	Bisphenol A	testosterone	no
32555	Flumioxazin	estrone	no
20764	Chlorpropham	cortisol	yes
20764	Chlorpropham	estradiol	yes
20764	Chlorpropham	estrone	yes
32645	Sulfentrazone	hydroxyprogesteroneesterone	yes
32645	Sulfentrazone	progesterone	yes
20112	Atrazine	cortisol	yes
20112	Atrazine	deoxycortisone	yes
20112	Atrazine	estradiol	yes
20112	Atrazine	estrone	yes
20112	Atrazine	testosterone	yes
21105	Pentachloronitrobenzene	hydroxyprogesteroneesterone	no
21105	Pentachloronitrobenzene	progesterone	no
32493	Triadimenol	deoxycortisol	no
32493	Triadimenol	hydroxypregnenolone	no
32493	Triadimenol	hydroxyprogesteroneesterone	no
32493	Triadimenol	androsteinedione	no
32493	Triadimenol	cortisol	no
32493	Triadimenol	deoxycortisone	no
32493	Triadimenol	estradiol	no
32493	Triadimenol	estrone	no
32493	Triadimenol	progesterone	no
24337	Thiobencarb	deoxycortisol	no
24337	Thiobencarb	hydroxypregnenolone	no
24337	Thiobencarb	deoxycortisone	no
24337	Thiobencarb	estradiol	no
24337	Thiobencarb	estrone	no
31864	PFOS	progesterone	yes
34545	Dimethomorph	hydroxyprogesteroneesterone	yes
34545	Dimethomorph	cortisol	no
34545	Dimethomorph	estradiol	yes
34545	Dimethomorph	estrone	yes
32497	Triclopyr	deoxycortisone	yes
24206	Molinate	estradiol	yes
20449	Dichlorvos	progesterone	yes
20607	Di(2-ethylhexyl) phthalate	cortisol	yes
20607	Di(2-ethylhexyl) phthalate	progesterone	yes
22292	Permethrin	deoxycortisol	no
22292	Permethrin	hydroxypregnenolone	no
22292	Permethrin	hydroxyprogesteroneesterone	no
22292	Permethrin	deoxycortisone	no
22292	Permethrin	progesterone	no
20089	Anilazine	hydroxyprogesteroneesterone	no
20089	Anilazine	testosterone	no
24238	Oryzalin	estrone	no
20620	Fenthion	deoxycortisol	no
20620	Fenthion	hydroxypregnenolone	no
20620	Fenthion	hydroxyprogesteroneesterone	yes
20620	Fenthion	androsteinedione	no
20620	Fenthion	deoxycortisone	no
20620	Fenthion	progesterone	yes
20620	Fenthion	testosterone	no
32355	Clomazone	hydroxyprogesteroneesterone	no
32355	Clomazone	androsteinedione	no
32355	Clomazone	testosterone	no
34961	Thiacloprid	hydroxypregnenolone	yes
34961	Thiacloprid	estradiol	no
34961	Thiacloprid	estrone	no
34855	Fluazifop-P-butyl	hydroxyprogesteroneesterone	yes
34855	Fluazifop-P-butyl	deoxycortisone	yes
34855	Fluazifop-P-butyl	progesterone	yes
34855	Fluazifop-P-butyl	testosterone	no
39223	Aldicarb	deoxycortisone	no
24272	Prometryn	cortisol	yes
24272	Prometryn	estradiol	yes
24272	Prometryn	estrone	yes
34392	Boscalid	deoxycortisone	no
34392	Boscalid	progesterone	no
32329	Bensulide	hydroxyprogesteroneesterone	yes
32329	Bensulide	progesterone	yes
24002	Fenpropathrin	deoxycortisone	no
24002	Fenpropathrin	progesterone	no
23897	Triadimefon	deoxycortisol	no
23897	Triadimefon	hydroxyprogesteroneesterone	no
23897	Triadimefon	androsteinedione	no
23897	Triadimefon	cortisol	no
23897	Triadimefon	deoxycortisone	no
23897	Triadimefon	estrone	no
23897	Triadimefon	testosterone	no
32352	Chlorpyrifos-methyl	estradiol	yes
32572	Prallethrin	estradiol	no
32572	Prallethrin	estrone	no
20791	Malathion	hydroxyprogesteroneesterone	yes
20791	Malathion	progesterone	yes
20791	Malathion	testosterone	yes
32651	Thidiazuron	hydroxyprogesteroneesterone	no
32651	Thidiazuron	deoxycortisone	no
32651	Thidiazuron	progesterone	no
24259	Phosalone	deoxycortisol	no
24259	Phosalone	hydroxypregnenolone	no
24259	Phosalone	androsteinedione	no
24259	Phosalone	cortisol	no
24259	Phosalone	deoxycortisone	yes
24259	Phosalone	estrone	no
24259	Phosalone	progesterone	yes
24259	Phosalone	testosterone	no
32611	Ethoprop	testosterone	no
23990	Cyanazine	hydroxypregnenolone	yes
23990	Cyanazine	deoxycortisone	yes
23990	Cyanazine	estradiol	yes
23990	Cyanazine	estrone	yes
22341	Prometon	hydroxypregnenolone	yes
22341	Prometon	cortisol	yes
22341	Prometon	estradiol	yes
22341	Prometon	estrone	yes
24163	Linuron	hydroxyprogesteroneesterone	no
24163	Linuron	testosterone	no
34695	Mancozeb	deoxycortisone	yes
34695	Mancozeb	progesterone	yes
35957	Cyfluthrin	hydroxypregnenolone	no
35957	Cyfluthrin	hydroxyprogesteroneesterone	no
22448	Metolachlor	hydroxyprogesteroneesterone	no
34492	Cyazofamid	estradiol	no
34492	Cyazofamid	estrone	no
32532	Carfentrazone-ethyl	androsteinedione	no
32532	Carfentrazone-ethyl	deoxycortisone	yes
32532	Carfentrazone-ethyl	progesterone	yes
34695	Mancozeb	deoxycortisone	yes
34695	Mancozeb	progesterone	yes
32519	Acibenzolar-S-methyl	hydroxypregnenolone	no
32519	Acibenzolar-S-methyl	hydroxyprogesteroneesterone	no
32519	Acibenzolar-S-methyl	androsteinedione	no
32519	Acibenzolar-S-methyl	cortisol	yes
32519	Acibenzolar-S-methyl	estradiol	yes
32519	Acibenzolar-S-methyl	estrone	yes
32519	Acibenzolar-S-methyl	progesterone	no
32519	Acibenzolar-S-methyl	testosterone	no
31864	PFOS	cortisol	yes
24154	Iprodione	deoxycortisol	no
24154	Iprodione	hydroxypregnenolone	no
24154	Iprodione	hydroxyprogesteroneesterone	no
24154	Iprodione	androsteinedione	no
24154	Iprodione	deoxycortisone	no
24154	Iprodione	testosterone	no
21268	Simazine	hydroxypregnenolone	yes
21268	Simazine	cortisol	yes
21268	Simazine	estradiol	yes
21268	Simazine	estrone	yes
24160	Lactofen	deoxycortisol	no
24160	Lactofen	hydroxyprogesteroneesterone	no
24160	Lactofen	deoxycortisone	no
24160	Lactofen	estradiol	no
24160	Lactofen	estrone	no
24160	Lactofen	progesterone	no
24160	Lactofen	testosterone	no
24299	Hexythiazox	hydroxypregnenolone	no
24035	"2,4-DB"	hydroxypregnenolone	yes
32548	Fenbuconazole	deoxycortisol	no
32548	Fenbuconazole	hydroxypregnenolone	no
32548	Fenbuconazole	hydroxyprogesteroneesterone	yes
32548	Fenbuconazole	androsteinedione	no
32548	Fenbuconazole	cortisol	no
32548	Fenbuconazole	deoxycortisone	no
32548	Fenbuconazole	estradiol	no
32548	Fenbuconazole	estrone	no
32548	Fenbuconazole	progesterone	yes
32548	Fenbuconazole	testosterone	no
20122	Azinphos-methyl	hydroxyprogesteroneesterone	yes
20122	Azinphos-methyl	estradiol	no
20122	Azinphos-methyl	estrone	no
20122	Azinphos-methyl	progesterone	yes
20242	Captafol	estradiol	yes
20242	Captafol	estrone	yes
22422	"4,4'-Methylenedianiline"	deoxycortisol	no
22422	"4,4'-Methylenedianiline"	hydroxypregnenolone	no
22422	"4,4'-Methylenedianiline"	hydroxyprogesteroneesterone	yes
22422	"4,4'-Methylenedianiline"	androsteinedione	no
22422	"4,4'-Methylenedianiline"	cortisol	no
22422	"4,4'-Methylenedianiline"	progesterone	yes
22422	"4,4'-Methylenedianiline"	testosterone	no
27270	1-Pentadecanol	hydroxypregnenolone	no
27270	1-Pentadecanol	hydroxyprogesteroneesterone	no
27270	1-Pentadecanol	deoxycortisone	no
27270	1-Pentadecanol	estradiol	yes
27270	1-Pentadecanol	estrone	yes
27270	1-Pentadecanol	progesterone	no
24261	Phosmet	hydroxyprogesteroneesterone	yes
24261	Phosmet	estrone	yes
20510	"7,12-Dimethylbenz(a)anthracene"	cortisol	yes
20510	"7,12-Dimethylbenz(a)anthracene"	deoxycortisone	yes
20510	"7,12-Dimethylbenz(a)anthracene"	estradiol	yes
20510	"7,12-Dimethylbenz(a)anthracene"	estrone	yes
20510	"7,12-Dimethylbenz(a)anthracene"	testosterone	no
27200	"4,4'-Bipyridine"	deoxycortisol	yes
27200	"4,4'-Bipyridine"	cortisol	yes
27200	"4,4'-Bipyridine"	deoxycortisone	yes
27200	"4,4'-Bipyridine"	estradiol	yes
27200	"4,4'-Bipyridine"	estrone	yes
27200	"4,4'-Bipyridine"	progesterone	yes
35001	10-Undecenoic acid	hydroxypregnenolone	yes
35001	10-Undecenoic acid	deoxycortisone	yes
35001	10-Undecenoic acid	estradiol	yes
35001	10-Undecenoic acid	estrone	yes
47291	CI-1044	deoxycortisol	no
47291	CI-1044	hydroxypregnenolone	yes
47291	CI-1044	hydroxyprogesteroneesterone	yes
47291	CI-1044	androsteinedione	yes
47291	CI-1044	cortisol	no
47291	CI-1044	deoxycortisone	no
47291	CI-1044	estradiol	yes
47291	CI-1044	estrone	yes
47291	CI-1044	progesterone	yes
29600	Methacrylamide	estradiol	yes
29600	Methacrylamide	estrone	yes
47379	SSR126768	hydroxyprogesteroneesterone	yes
47379	SSR126768	cortisol	no
29246	Triethoxyoctylsilane	hydroxyprogesteroneesterone	no
29246	Triethoxyoctylsilane	estrone	yes
29246	Triethoxyoctylsilane	testosterone	no
34186	Spironolactone	deoxycortisol	no
34186	Spironolactone	hydroxypregnenolone	yes
34186	Spironolactone	hydroxyprogesteroneesterone	no
34186	Spironolactone	androsteinedione	no
34186	Spironolactone	cortisol	no
34186	Spironolactone	deoxycortisone	yes
34186	Spironolactone	progesterone	yes
34186	Spironolactone	testosterone	no
21217	Pyrimethamine	hydroxyprogesteroneesterone	yes
21217	Pyrimethamine	deoxycortisone	no
34972	Thymol	estradiol	yes
34972	Thymol	estrone	yes
40747	17alpha-Hydroxyprogesterone	deoxycortisol	yes
40747	17alpha-Hydroxyprogesterone	hydroxypregnenolone	yes
40747	17alpha-Hydroxyprogesterone	hydroxyprogesteroneesterone	yes
40747	17alpha-Hydroxyprogesterone	androsteinedione	yes
40747	17alpha-Hydroxyprogesterone	cortisol	yes
40747	17alpha-Hydroxyprogesterone	deoxycortisone	yes
40747	17alpha-Hydroxyprogesterone	progesterone	yes
26193	"1,2,3-Trichlorobenzene"	deoxycortisone	yes
21419	l-Tryptophan	hydroxyprogesteroneesterone	yes
20221	4-tert-Butylphenol	hydroxyprogesteroneesterone	yes
20221	4-tert-Butylphenol	cortisol	yes
20221	4-tert-Butylphenol	deoxycortisone	no
20221	4-tert-Butylphenol	estradiol	yes
20221	4-tert-Butylphenol	estrone	yes
21126	Phenothiazine	deoxycortisol	no
21126	Phenothiazine	hydroxyprogesteroneesterone	no
21126	Phenothiazine	androsteinedione	no
21126	Phenothiazine	estradiol	yes
21126	Phenothiazine	estrone	yes
21126	Phenothiazine	testosterone	no
40722	4-Cyclohexylcyclohexanol	hydroxyprogesteroneesterone	no
40722	4-Cyclohexylcyclohexanol	androsteinedione	no
40722	4-Cyclohexylcyclohexanol	deoxycortisone	yes
40722	4-Cyclohexylcyclohexanol	estrone	yes
40722	4-Cyclohexylcyclohexanol	testosterone	no
22369	Fulvestrant	hydroxyprogesteroneesterone	yes
22369	Fulvestrant	estrone	no
20295	4-Chloroaniline	hydroxyprogesteroneesterone	yes
20295	4-Chloroaniline	deoxycortisone	no
20295	4-Chloroaniline	estrone	yes
20295	4-Chloroaniline	testosterone	yes
43938	Monobenzyl phthalate	estradiol	no
43938	Monobenzyl phthalate	estrone	yes
47542	Picoxystrobin	estradiol	no
24869	Cumene hydroperoxide	estrone	yes
42219	Propylbenzene	estradiol	yes
42219	Propylbenzene	estrone	yes
